category,item,amount,total,project
Spenden/Mitgliedsbeiträge,Spenden von Privatpersonen <1.000€,232308,2425087,"diverse OKF-Projekte, v. a. FragdenStaat, Jugend hackt"
Spenden/Mitgliedsbeiträge,Initiative Ulm Digital,47000,2425087,Jugend hackt (JH Lab Ulm)
Spenden/Mitgliedsbeiträge,Controlware Stiftung,10000,2425087,Jugend hackt
Spenden/Mitgliedsbeiträge,Stiftung Erneuerbare Freiheit,10250,2425087,FragdenStaat
Spenden/Mitgliedsbeiträge,Wau Holland Stiftung,6000,2425087,FragdenStaat
Spenden/Mitgliedsbeiträge,yvolve GmbH & Co. KG ,37500,2425087,die ganze OKF (Spendenkampage FriendlyFire)
Spenden/Mitgliedsbeiträge,Wild Europe GmbH & Co. KG,5414,2425087,Jugend hackt
Spenden/Mitgliedsbeiträge,Whollees GmbH,4000,2425087,Jugend hackt
Spenden/Mitgliedsbeiträge,Deutsche Telekom AG,3000,2425087,FragdenStaat
Spenden/Mitgliedsbeiträge,IBM,2000,2425087,Code For Germany (OK Lab Stuttgart)
Spenden/Mitgliedsbeiträge,BitCrowd GmbH,1500,2425087,Jugend hackt
Spenden/Mitgliedsbeiträge,zero360 GmbH,1500,2425087,Jugend hackt
Spenden/Mitgliedsbeiträge,Eos.uptrade GmbH,1400,2425087,Code For Germany (Code For Hamburg)
Spenden/Mitgliedsbeiträge,Spenden von Institutionen/Unternehmen <1% und <1000€,4500,2425087,diverse OKF-Projekte
