category,item,amount
Spenden,Spenden von Privatpersonen,320768
Spenden,Friendly Fire Kampagne,112305
Spenden,Initiative Ulm Digital e.V.,37000
Spenden,Joachim Herz Stiftung,18750
Spenden,Dachstiftung für individuelles Schenken,8000
Spenden,Goethe-Institut e.V.,7140
Spenden,Wau Holland Stiftung,6000
Spenden,Verein „Freie Netze. Freies Wissen.“,5000
Spenden,Sebastian-Cobler-Stiftung,1000
Spenden,Wild Europe GmbH & Co. KG,8390
Spenden,Cosmo Consult GmbH,5000
Spenden,Galenus-Apotheke,2000
Spenden,Eggs unimedia GmbH,1000
Spenden,A + S Anlagenbau und Service GmbH,1000
Spenden,Spenden von Institutionen/Unternehmen unter 1.000 €,4826
Zuschüsse,BMBF ,503817
Zuschüsse,Luminate (Omidyar Network Fund Inc.),378482
Zuschüsse,SKala-Initiative / Phineo,289102
Zuschüsse,Schöpflin Stiftung,74704
Zuschüsse,BMU / Umweltbundesamt,70186
Zuschüsse,DB Stiftung gGmbH,70000
Zuschüsse,Deutsche Stiftung für Engagement und Ehrenamt,39042
Zuschüsse,Phineo SKala Zukunftsfond,37843
Zuschüsse,Open Government Partnership,33173
Zuschüsse,anderer Verein,30000
Zuschüsse,Postcodelotterie,27818
Zuschüsse,Arnfried und Hannelore Meyer Stiftung,25675
Zuschüsse,Wegrand-Stiftung,20676
Zuschüsse,FOE / Wikimedia Deutschland e. V.,16080
Zuschüsse,Good Move,13500
Zuschüsse,Youth Policy Labs gGmbH,6850
Zuschüsse,Stiftung Mitarbeit,5000
Zuschüsse,EngagementGlobal gGmbH / BMZ,2651
Zuschüsse,Digital Freedom Fund,1720
Zuschüsse,BMVI,98
Sponsoring durch Unternehmen,adesso insurance solutions GmbH,18000
Sponsoring durch Unternehmen,Sponsoring <1.000€,0
Wirtschaftliche Einnahmen,Stromnetz Berlin GmbH / Vattenfall GmbH,58500
Wirtschaftliche Einnahmen,Q3. Quartier für Medien.Bildung.Abenteuer gGmbH,5042
Wirtschaftliche Einnahmen,IKT Linz GmbH,4310
Wirtschaftliche Einnahmen,IJAB – Fachstelle für Internationale Jugendarbeit der Bundesrepublik Deutschland e.V.,137750
Wirtschaftliche Einnahmen,Körber Stiftung,26800
Wirtschaftliche Einnahmen,nexus Institut,24700
Wirtschaftliche Einnahmen,Stadt Leipzig,19184
Wirtschaftliche Einnahmen,Robert Bosch Stiftung,18900
Wirtschaftliche Einnahmen,Goethe-Institut e.V.,6000
Wirtschaftliche Einnahmen,ComputerProjekt Köln e.V. (Fachstelle für Jugendmedienkultur NRW),5997
Wirtschaftliche Einnahmen,Deutsche Umwelthilfe e.V.,4138
Wirtschaftliche Einnahmen,Global Project Partners,3675
Wirtschaftliche Einnahmen,BSR Berliner Stadtreinigung,3500
Wirtschaftliche Einnahmen,Fundacja ePaństwo,3419
Wirtschaftliche Einnahmen,Behörde für Schule und Berufsbildung Jugendinformationszentrum Freie und Hansestadt Hamburg Kasse,3081
Wirtschaftliche Einnahmen,Brandenburgische Technische Universität Cottbus-Senftenberg,2800
Wirtschaftliche Einnahmen,Schurman-Gesellschaft e.V. - Deutsch-Amerikanisches Institut Heidelberg,2586
Wirtschaftliche Einnahmen,The New Institute,2000
Wirtschaftliche Einnahmen,Wissenschaftsladen Potsdam e.V.,1681
Wirtschaftliche Einnahmen,Node Verein zur Förderung Digitaler Kultur e.V.,1000
Wirtschaftliche Einnahmen,Aufträge <1.000€,4033
