category,item,amount,total,project
eigenerwirtschaftete Gelder,Stromnetz Berlin,49700,2498547,Energyhack
eigenerwirtschaftete Gelder,IKT Linz GmbH,5000,2498547,Jugend hackt
eigenerwirtschaftete Gelder,Goethe-Institut e.V.,29411,2498547,Jugend hackt Korea
eigenerwirtschaftete Gelder,Senatsverwaltung Berlin,27720,2498547,Finanztransparenz
eigenerwirtschaftete Gelder,Georg-August-Universtität Göttingen,20352,2498547,Dariah
eigenerwirtschaftete Gelder,Gesellschaft für Internationale Zusammenarbeit,19998,2498547,Climate Change Adaptation
eigenerwirtschaftete Gelder,Trees Robijns NABU,15141,2498547,Finanztransparenz
eigenerwirtschaftete Gelder,Körber Stiftung,14000,2498547,Code For Germany (Hamburg)
eigenerwirtschaftete Gelder,Fachstelle fuer Jugendmedienkultur NRW,13337,2498547,Jugend hackt
eigenerwirtschaftete Gelder,Wissenschaftsladen Potsdam,10084,2498547,Jugend hackt
eigenerwirtschaftete Gelder,Landesjugendring MV e.V.,6302,2498547,Jugend hackt
eigenerwirtschaftete Gelder,Bundesministerium für Familie Senioren Frauen und Jugend,4857,2498547,FamilienLabore
eigenerwirtschaftete Gelder,NODE Verein zur Förderung Digitaler Kultur e.V.,4705,2498547,Jugend hackt
eigenerwirtschaftete Gelder,Finanzministerium Rheinland-Pfalz,3000,2498547,Finanztransparenz
eigenerwirtschaftete Gelder,Deutscher Naturschutzring e.V.,1.680,2498547,Bits&Bäume
eigenerwirtschaftete Gelder,non plus culture e.V.,1629,2498547,Jugend hackt
eigenerwirtschaftete Gelder,Uni Hamburg,1749,2498547,Datenschule
eigenerwirtschaftete Gelder,Stadt Ulm,1512,2498547,Finanztransparenz
eigenerwirtschaftete Gelder,Deutsch-Amerikanisches Institut Heidelberg,1361,2498547,Jugend hackt
