category,item,amount,total,project
Öffentliche Geldgeber/Institutionen,Medienanstalt Berlin Brandenburg,30000,2011266,Jugend Hackt,
Öffentliche Geldgeber/Institutionen,Landeshauptkasse Sachsen-Anhalt,5000,2011266,
Öffentliche Geldgeber/Institutionen,OKF GB,25708,2011266,
Öffentliche Geldgeber/Institutionen,EngagementGolbal gGmbH,76000,2011266,2030watch
Öffentliche Geldgeber/Institutionen,Evangelisches Werk für Diakone,4600,2011266,2030watch
Öffentliche Geldgeber/Institutionen,Stiftung Nord-Süd-Brücken,2000,2011266,2030watch
Öffentliche Geldgeber/Institutionen,BMBF,350786,2011266, Prototype Fund
Öffentliche Geldgeber/Institutionen,EU,13112,2011266,Europeana Cloud
Öffentliche Geldgeber/Institutionen,EU,96724,2011266,Digiwhist
Öffentliche Geldgeber/Institutionen,GIZ GmbH,10000,2011266,
Öffentliche Geldgeber/Institutionen,TIDES Foundation,127923,2011266,Datenschule
Öffentliche Geldgeber/Institutionen,BMFSFJ,637583,2011266,Demokratielabore
Öffentliche Geldgeber/Institutionen,BMBF,177691,2011266,edulabs
Öffentliche Geldgeber/Institutionen,BMVI,66570,2011266,Datensummit
Öffentliche Geldgeber/Institutionen,Max-Planck-Gesellschaft,10000,2011266,
Öffentliche Geldgeber/Institutionen,öffentliche Förderung < 1% der Gesamtfördersumme,46713,2011266,
