category,item,amount,total,project
Spenden,Spenden von Privatpersonen,414272,2504112,"diverse OKF-Projekte, v. a. FragdenStaat, Jugend hackt"
Spenden,JobRad GmbH,10000,2504112,Jugend hackt
Spenden,GLS Treuhand e.V.,8000,2504112,die ganze OKF
Spenden,Wau Holland Stiftung,6000,2504112,FragDenStaat
Spenden,Hopp-Foundation for Computer Literacy,5000,2504112,Jugend hackt
Spenden,Stiftung für Wissenschaft und Kultur,5000,2504112,FragDenStaat
Spenden,Haus des Stiftens,3138,2504112,die ganze OKF & FragdenStaat
Spenden,AlgorithmWatch,2500,2504112,FragDenStaat
Spenden,Schöpflin Stiftung,2411,2504112,FragDenStaat
Spenden,UK Online Giving Foundation,2190,2504112,die ganze OKF & FragdenStaat
Spenden,Stifter für Stifter,1570,2504112,FragDenStaat
Spenden,Nautavis GmbH,1000,2504112,FragDenStaat
Spenden,Spenden von Institutionen/Unternehmen unter 1.000 €,5909,2504112,diverse OKF-Projekte
